場所,芝・ダ,距離,馬場状態,レース数,勝ち時計平均秒,勝ち上り3F平均,RPCI平均,平均1Fタイム,平均速度,Ave_3F平均,勝ち馬4角率平均,勝ち馬PCI平均,三着内上り3F平均,三着内4角率平均,三着内先行率_4角35以内,三着内差し追込率_4角60超,標準ペース判定,好走ゾーン,勝ち時計平均
中京,芝,3000,稍,1,190.2,38.3,43.9,12.68,56.78,37.98,0.23529411764705882,49.2,38.96666666666667,0.19607843137254902,100.0,0.0,ハイ/持続,前残り・先行優勢,3:10.2
中京,芝,3000,良,3,183.86666666666667,35.333333333333336,52.46666666666666,12.26,58.74,37.13666666666666,0.5064102564102564,55.1,35.67777777777778,0.36385836385836384,55.55555555555556,22.22222222222222,標準〜やや上がり,前残り・先行優勢,3:03.9
中京,芝,3300,不,1,218.3,13.2,,13.23,54.42,,0.2,,13.266666666666666,0.23333333333333336,66.66666666666666,0.0,不明,前残り・先行優勢,3:38.3
中京,芝,3300,良,4,215.6,13.05,,13.065,55.11,,0.11379245754245754,,13.108333333333334,0.22574300699300698,83.33333333333334,8.333333333333332,不明,前残り・先行優勢,3:35.6
中京,芝,3900,良,1,254.8,13.1,,13.07,55.1,,0.09090909090909091,,13.1,0.21212121212121213,66.66666666666666,0.0,不明,前残り・先行優勢,4:14.8
中京,芝,3900,重,1,257.7,13.2,,13.22,54.48,,0.1111111111111111,,13.233333333333334,0.1851851851851852,100.0,0.0,不明,前残り・先行優勢,4:17.7
中山,ダ,1200,不,24,70.42083333333333,36.375,41.458333333333336,11.737499999999999,61.352916666666665,34.045833333333334,0.2847489316239316,43.625,36.49583333333333,0.3258903133903134,62.5,15.277777777777779,ハイ/持続,前残り・先行優勢,1:10.4
中山,ダ,1200,稍,115,71.1295652173913,36.76260869565217,41.32260869565218,11.855130434782607,60.74,34.36695652173913,0.2639870998566651,43.528695652173916,36.818260869565215,0.3294287837766099,62.31884057971014,17.971014492753625,ハイ/持続,前残り・先行優勢,1:11.1
中山,ダ,1200,良,337,71.25769230769231,36.811834319526625,41.35207100591716,11.876449704142011,60.631863905325446,34.445857988165685,0.2658301387961151,43.61420118343195,36.872161895360314,0.33538590810308483,61.00691016781836,17.17670286278381,ハイ/持続,前残り・先行優勢,1:11.3
中山,ダ,1200,重,44,70.65454545454546,36.481818181818184,42.14772727272727,11.776363636363635,61.14977272727273,34.17272727272728,0.19640037992310722,43.71818181818182,36.50909090909091,0.30048578315623775,68.93939393939394,14.393939393939394,ハイ/持続,前残り・先行優勢,1:10.7
中山,ダ,1800,不,26,111.66923076923078,37.646153846153844,47.4076923076923,12.406153846153845,58.03730769230769,37.01153846153846,0.19838206665129743,48.349999999999994,37.782051282051285,0.2799954141300295,73.07692307692307,14.102564102564102,やや速い,前残り・先行優勢,1:51.7
中山,ダ,1800,稍,122,113.25491803278689,37.94918032786885,47.87049180327869,12.584016393442623,57.22155737704918,37.652868852459015,0.22414131860853173,49.2672131147541,38.15409836065574,0.2855427473255342,69.67213114754098,9.289617486338798,やや速い,前残り・先行優勢,1:53.3
中山,ダ,1800,良,346,113.77031700288185,38.15331412103747,47.62190201729106,12.641181556195965,56.961152737752165,37.808501440922186,0.2510163667584417,49.14438040345821,38.302890173410404,0.30404519345993336,65.02890173410405,13.005780346820808,やや速い,前残り・先行優勢,1:53.8
中山,ダ,1800,重,45,112.42444444444445,37.63111111111111,48.437777777777775,12.491111111111111,57.64222222222222,37.39666666666666,0.20780426363759696,49.44444444444444,37.755147058823525,0.26860316970611087,75.73529411764706,9.558823529411764,やや速い,前残り・先行優勢,1:52.4
